CLIENTNUM,Attrition_Flag (Customer turnover),Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,loanProbability,Loan
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,1,3,12691,777,6%,0.7363497788309394,1
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,1,2,8256,864,11%,0.633780193,1
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,1,0,3418,0,0%,0.5303037473805887,1
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,4,1,3313,2517,76%,0.4222906379906312,0
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,1,0,4716,0,0%,0.49687766102203357,0
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,1,2,4010,1247,31%,0.37760069313396943,0
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,1,3,34516,2264,7%,0.6408052515192542,0
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,29081,1396,5%,0.1872857994999046,0
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,2,0,22352,2517,11%,0.6583531491391565,1
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,3,3,11656,1677,14%,0.5718671071543636,0
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,3,2,6748,1467,22%,0.5846481444528291,1
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,2,3,9095,1587,17%,0.43933276100392493,0
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,6,0,11751,0,0%,0.5334725652356959,0
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,1,3,8547,1666,20%,0.46970282366361465,1
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,2,2,2436,680,28%,0.4487004027047883,1
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,1,2,4234,972,23%,0.5622650112375213,0
